32,625,626,634
32,33,41,634
32,33,626,634
33,626,634,635
33,41,42,635
33,41,634,635
41,634,635,643
41,42,50,643
41,42,635,643
23,616,625,626
23,32,33,626
23,32,625,626
42,635,643,644
42,50,51,644
42,50,643,644
23,616,617,626
23,24,33,626
23,24,617,626
50,643,644,654
50,51,61,654
50,51,644,654
51,644,654,655
51,61,62,655
51,61,654,655
61,654,655,666
61,62,73,666
61,62,655,666
12,605,616,617
12,23,24,617
12,23,616,617
62,655,666,667
62,73,74,667
62,73,666,667
12,605,606,617
12,13,24,617
12,13,606,617
32,625,630,634
32,37,41,634
32,37,630,634
37,630,634,639
37,41,46,639
37,41,634,639
41,634,639,643
41,46,50,643
41,46,639,643
50,643,649,654
50,56,61,654
50,56,649,654
61,654,661,666
61,68,73,666
61,68,661,666
23,616,625,630
23,32,37,630
23,32,625,630
23,616,621,630
23,28,37,630
23,28,621,630
42,635,636,644
42,43,51,644
42,43,636,644
33,626,627,635
33,34,42,635
33,34,627,635
24,617,626,627
24,33,34,627
24,33,626,627
13,606,617,618
13,24,25,618
13,24,617,618
43,636,644,645
43,51,52,645
43,51,644,645
51,644,645,655
51,52,62,655
51,52,645,655
46,639,643,649
46,50,56,649
46,50,643,649
34,627,635,636
34,42,43,636
34,42,635,636
12,605,616,621
12,23,28,621
12,23,616,621
56,649,654,661
56,61,68,661
56,61,654,661
73,666,667,679
73,74,86,679
73,74,667,679
52,645,655,656
52,62,63,656
52,62,655,656
0,593,605,606
0,12,13,606
0,12,605,606
12,605,611,621
12,18,28,621
12,18,611,621
24,617,618,627
24,25,34,627
24,25,618,627
0,593,594,606
0,1,13,606
0,1,594,606
68,661,666,672
68,73,79,672
68,73,666,672
63,656,667,668
63,74,75,668
63,74,667,668
62,655,656,667
62,63,74,667
62,63,656,667
1,594,606,607
1,13,14,607
1,13,606,607
0,593,605,611
0,12,18,611
0,12,605,611
74,667,668,681
74,75,88,681
74,75,668,681
73,666,677,679
73,84,86,679
73,84,677,679
73,666,677,711
73,84,118,711
73,84,677,711
13,606,607,618
13,14,25,618
13,14,607,618
88,681,683,714
88,90,121,714
88,90,683,714
74,667,679,681
74,86,88,681
74,86,679,681
73,666,672,711
73,79,118,711
73,79,672,711
84,677,679,714
84,86,121,714
84,86,679,714
0,593,600,698
0,7,105,698
0,7,600,698
0,593,600,611
0,7,18,611
0,7,600,611
86,679,681,714
86,88,121,714
86,88,681,714
75,668,681,683
75,88,90,683
75,88,681,683
79,672,709,711
79,116,118,711
79,116,709,711
84,677,711,714
84,118,121,714
84,118,711,714
1,594,595,607
1,2,14,607
1,2,595,607
0,593,694,696
0,101,103,696
0,101,694,696
0,593,594,694
0,1,101,694
0,1,594,694
1,594,692,694
1,99,101,694
1,99,692,694
38,631,639,640
38,46,47,640
38,46,639,640
46,639,640,649
46,47,56,649
46,47,640,649
56,649,650,661
56,57,68,661
56,57,650,661
68,661,662,672
68,69,79,672
68,69,662,672
79,672,673,709
79,80,116,709
79,80,673,709
37,630,631,639
37,38,46,639
37,38,631,639
28,621,630,631
28,37,38,631
28,37,630,631
28,621,622,631
28,29,38,631
28,29,622,631
47,640,649,650
47,56,57,650
47,56,649,650
57,650,661,662
57,68,69,662
57,68,661,662
90,683,685,714
90,92,121,714
90,92,685,714
75,668,683,685
75,90,92,685
75,90,683,685
18,611,621,622
18,28,29,622
18,28,621,622
69,662,672,673
69,79,80,673
69,79,672,673
80,673,707,709
80,114,116,709
80,114,707,709
116,709,711,714
116,118,121,714
116,118,711,714
103,696,698,713
103,105,120,713
103,105,698,713
0,593,696,698
0,103,105,698
0,103,696,698
18,611,612,622
18,19,29,622
18,19,612,622
1,594,595,692
1,2,99,692
1,2,595,692
101,694,696,713
101,103,120,713
101,103,696,713
7,600,611,612
7,18,19,612
7,18,611,612
114,707,709,714
114,116,121,714
114,116,709,714
7,600,601,612
7,8,19,612
7,8,601,612
107,700,702,713
107,109,120,713
107,109,702,713
7,600,698,700
7,105,107,700
7,105,698,700
92,685,687,714
92,94,121,714
92,94,687,714
75,668,669,685
75,76,92,685
75,76,669,685
63,656,657,668
63,64,75,668
63,64,657,668
2,595,690,692
2,97,99,692
2,97,690,692
99,692,694,713
99,101,120,713
99,101,694,713
80,673,705,707
80,112,114,707
80,112,705,707
112,705,707,714
112,114,121,714
112,114,707,714
94,687,689,714
94,96,121,714
94,96,689,714
7,600,601,700
7,8,107,700
7,8,601,700
76,669,685,687
76,92,94,687
76,92,685,687
52,645,646,656
52,53,63,656
52,53,646,656
43,636,637,645
43,44,52,645
43,44,637,645
34,627,628,636
34,35,43,636
34,35,628,636
64,657,668,669
64,75,76,669
64,75,668,669
25,618,627,628
25,34,35,628
25,34,627,628
53,646,656,657
53,63,64,657
53,63,656,657
44,637,645,646
44,52,53,646
44,52,645,646
14,607,618,619
14,25,26,619
14,25,618,619
2,595,607,608
2,14,15,608
2,14,607,608
105,698,700,713
105,107,120,713
105,107,700,713
8,601,700,702
8,107,109,702
8,107,700,702
35,628,636,637
35,43,44,637
35,43,636,637
96,689,691,714
96,98,121,714
96,98,691,714
76,669,687,689
76,94,96,689
76,94,687,689
81,674,703,705
81,110,112,705
81,110,703,705
110,703,705,714
110,112,121,714
110,112,705,714
81,674,701,703
81,108,110,703
81,108,701,703
2,595,688,690
2,95,97,690
2,95,688,690
97,690,692,713
97,99,120,713
97,99,692,713
3,596,686,688
3,93,95,688
3,93,686,688
25,618,619,628
25,26,35,628
25,26,619,628
95,688,690,713
95,97,120,713
95,97,690,713
98,691,693,714
98,100,121,714
98,100,693,714
76,669,670,689
76,77,96,689
76,77,670,689
80,673,674,705
80,81,112,705
80,81,674,705
108,701,703,714
108,110,121,714
108,110,703,714
109,702,704,713
109,111,120,713
109,111,704,713
8,601,702,704
8,109,111,704
8,109,702,704
14,607,608,619
14,15,26,619
14,15,608,619
2,595,596,688
2,3,95,688
2,3,596,688
93,686,688,713
93,95,120,713
93,95,688,713
100,693,695,714
100,102,121,714
100,102,695,714
77,670,689,691
77,96,98,691
77,96,689,691
106,699,701,714
106,108,121,714
106,108,701,714
2,595,596,608
2,3,15,608
2,3,596,608
102,695,697,714
102,104,121,714
102,104,697,714
104,697,699,714
104,106,121,714
104,106,699,714
111,704,706,713
111,113,120,713
111,113,706,713
8,601,602,704
8,9,111,704
8,9,602,704
113,706,708,713
113,115,120,713
113,115,708,713
69,662,663,673
69,70,80,673
69,70,663,673
70,663,673,674
70,80,81,674
70,80,673,674
82,675,699,701
82,106,108,701
82,106,699,701
72,665,676,697
72,83,104,697
72,83,676,697
58,651,662,663
58,69,70,663
58,69,662,663
57,650,651,662
57,58,69,662
57,58,651,662
3,596,684,686
3,91,93,686
3,91,684,686
91,684,686,713
91,93,120,713
91,93,686,713
48,641,650,651
48,57,58,651
48,57,650,651
47,640,641,650
47,48,57,650
47,48,641,650
115,708,710,713
115,117,120,713
115,117,710,713
9,602,704,706
9,111,113,706
9,111,704,706
8,601,612,613
8,19,20,613
8,19,612,613
4,597,682,684
4,89,91,684
4,89,682,684
89,682,684,713
89,91,120,713
89,91,684,713
39,632,640,641
39,47,48,641
39,47,640,641
117,710,712,713
117,119,120,713
117,119,712,713
5,598,680,682
5,87,89,682
5,87,680,682
87,680,682,713
87,89,120,713
87,89,682,713
29,622,631,632
29,38,39,632
29,38,631,632
38,631,632,640
38,39,47,640
38,39,632,640
29,622,623,632
29,30,39,632
29,30,623,632
9,602,603,708
9,10,115,708
9,10,603,708
9,602,706,708
9,113,115,708
9,113,706,708
85,678,712,713
85,119,120,713
85,119,712,713
10,603,708,710
10,115,117,710
10,115,708,710
85,678,680,713
85,87,120,713
85,87,680,713
19,612,622,623
19,29,30,623
19,29,622,623
8,601,602,613
8,9,20,613
8,9,602,613
19,612,613,623
19,20,30,623
19,20,613,623
66,659,691,693
66,98,100,693
66,98,691,693
66,659,670,691
66,77,98,691
66,77,670,691
55,648,659,670
55,66,77,670
55,66,659,670
64,657,658,669
64,65,76,669
64,65,658,669
53,646,657,658
53,64,65,658
53,64,657,658
44,637,638,646
44,45,53,646
44,45,638,646
65,658,669,670
65,76,77,670
65,76,669,670
35,628,629,637
35,36,44,637
35,36,629,637
3,596,597,609
3,4,16,609
3,4,597,609
3,596,597,684
3,4,91,684
3,4,597,684
6,599,678,680
6,85,87,680
6,85,678,680
11,604,710,712
11,117,119,712
11,117,710,712
3,596,608,609
3,15,16,609
3,15,608,609
58,651,663,664
58,70,71,664
58,70,663,664
70,663,664,674
70,71,81,674
70,71,664,674
71,664,674,675
71,81,82,675
71,81,674,675
81,674,675,701
81,82,108,701
81,82,675,701
67,660,671,693
67,78,100,693
67,78,671,693
58,651,652,664
58,59,71,664
58,59,652,664
49,642,651,652
49,58,59,652
49,58,651,652
6,599,678,712
6,85,119,712
6,85,678,712
10,603,604,710
10,11,117,710
10,11,604,710
9,602,613,614
9,20,21,614
9,20,613,614
30,623,624,633
30,31,40,633
30,31,624,633
45,638,646,647
45,53,54,647
45,53,646,647
26,619,628,629
26,35,36,629
26,35,628,629
15,608,619,620
15,26,27,620
15,26,619,620
54,647,648,658
54,55,65,658
54,55,648,658
53,646,647,658
53,54,65,658
53,54,647,658
36,629,637,638
36,44,45,638
36,44,637,638
66,659,671,693
66,78,100,693
66,78,671,693
55,648,658,670
55,65,77,670
55,65,658,670
67,660,693,695
67,100,102,695
67,100,693,695
67,660,695,697
67,102,104,697
67,102,695,697
26,619,620,629
26,27,36,629
26,27,620,629
67,660,676,697
67,83,104,697
67,83,676,697
72,665,697,699
72,104,106,699
72,104,697,699
72,665,675,699
72,82,106,699
72,82,675,699
15,608,609,620
15,16,27,620
15,16,609,620
60,653,665,675
60,72,82,675
60,72,665,675
60,653,664,675
60,71,82,675
60,71,664,675
4,597,609,610
4,16,17,610
4,16,609,610
4,597,598,682
4,5,89,682
4,5,598,682
48,641,642,651
48,49,58,651
48,49,642,651
59,652,653,664
59,60,71,664
59,60,653,664
4,597,598,610
4,5,17,610
4,5,598,610
5,598,599,680
5,6,87,680
5,6,599,680
6,599,604,712
6,11,119,712
6,11,604,712
39,632,633,641
39,40,48,641
39,40,633,641
40,633,641,642
40,48,49,642
40,48,641,642
30,623,632,633
30,39,40,633
30,39,632,633
10,603,604,615
10,11,22,615
10,11,604,615
20,613,623,624
20,30,31,624
20,30,623,624
9,602,603,614
9,10,21,614
9,10,603,614
10,603,614,615
10,21,22,615
10,21,614,615
20,613,614,624
20,21,31,624
20,21,614,624
54,647,720,721
54,127,128,721
54,127,720,721
45,638,647,720
45,54,127,720
45,54,647,720
36,629,638,719
36,45,126,719
36,45,638,719
27,620,629,718
27,36,125,718
27,36,629,718
54,647,648,721
54,55,128,721
54,55,648,721
55,648,721,722
55,128,129,722
55,128,721,722
45,638,719,720
45,126,127,720
45,126,719,720
16,609,620,717
16,27,124,717
16,27,620,717
66,659,671,722
66,78,129,722
66,78,671,722
55,648,659,722
55,66,129,722
55,66,659,722
67,660,671,722
67,78,129,722
67,78,671,722
67,660,722,723
67,129,130,723
67,129,722,723
67,660,676,723
67,83,130,723
67,83,676,723
36,629,718,719
36,125,126,719
36,125,718,719
16,609,610,716
16,17,123,716
16,17,610,716
60,653,665,723
60,72,130,723
60,72,665,723
72,665,676,723
72,83,130,723
72,83,676,723
27,620,717,718
27,124,125,718
27,124,717,718
5,598,610,716
5,17,123,716
5,17,610,716
5,598,599,715
5,6,122,715
5,6,599,715
6,599,604,715
6,11,122,715
6,11,604,715
59,652,653,724
59,60,131,724
59,60,653,724
60,653,723,724
60,130,131,724
60,130,723,724
16,609,716,717
16,123,124,717
16,123,716,717
11,604,615,729
11,22,136,729
11,22,615,729
49,642,652,725
49,59,132,725
49,59,652,725
59,652,724,725
59,131,132,725
59,131,724,725
5,598,715,716
5,122,123,716
5,122,715,716
21,614,615,729
21,22,136,729
21,22,615,729
40,633,642,726
40,49,133,726
40,49,642,726
49,642,725,726
49,132,133,726
49,132,725,726
11,604,715,729
11,122,136,729
11,122,715,729
21,614,624,728
21,31,135,728
21,31,624,728
40,633,726,727
40,133,134,727
40,133,726,727
31,624,633,727
31,40,134,727
31,40,633,727
21,614,728,729
21,135,136,729
21,135,728,729
31,624,727,728
31,134,135,728
31,134,727,728
127,720,721,736
127,128,143,736
127,128,721,736
126,719,720,735
126,127,142,735
126,127,720,735
125,718,719,734
125,126,141,734
125,126,719,734
128,721,736,737
128,143,144,737
128,143,736,737
127,720,735,736
127,142,143,736
127,142,735,736
124,717,718,733
124,125,140,733
124,125,718,733
128,721,722,738
128,129,145,738
128,129,722,738
128,721,737,738
128,144,145,738
128,144,737,738
126,719,734,735
126,141,142,735
126,141,734,735
129,722,723,739
129,130,146,739
129,130,723,739
129,722,738,739
129,145,146,739
129,145,738,739
125,718,733,734
125,140,141,734
125,140,733,734
123,716,717,731
123,124,138,731
123,124,717,731
130,723,724,740
130,131,147,740
130,131,724,740
130,723,739,740
130,146,147,740
130,146,739,740
124,717,732,733
124,139,140,733
124,139,732,733
122,715,716,730
122,123,137,730
122,123,716,730
131,724,740,741
131,147,148,741
131,147,740,741
124,717,731,732
124,138,139,732
124,138,731,732
122,715,729,748
122,136,155,748
122,136,729,748
131,724,725,742
131,132,149,742
131,132,725,742
131,724,741,742
131,148,149,742
131,148,741,742
123,716,730,731
123,137,138,731
123,137,730,731
135,728,729,747
135,136,154,747
135,136,729,747
132,725,726,743
132,133,150,743
132,133,726,743
132,725,742,743
132,149,150,743
132,149,742,743
122,715,730,748
122,137,155,748
122,137,730,748
133,726,727,744
133,134,151,744
133,134,727,744
133,726,743,744
133,150,151,744
133,150,743,744
134,727,744,745
134,151,152,745
134,151,744,745
136,729,747,748
136,154,155,748
136,154,747,748
134,727,728,745
134,135,152,745
134,135,728,745
135,728,746,747
135,153,154,747
135,153,746,747
135,728,745,746
135,152,153,746
135,152,745,746
143,736,756,757
143,163,164,757
143,163,756,757
142,735,736,756
142,143,163,756
142,143,736,756
141,734,735,755
141,142,162,755
141,142,735,755
140,733,734,754
140,141,161,754
140,141,734,754
143,736,737,757
143,144,164,757
143,144,737,757
144,737,738,758
144,145,165,758
144,145,738,758
144,737,757,758
144,164,165,758
144,164,757,758
142,735,755,756
142,162,163,756
142,162,755,756
139,732,733,752
139,140,159,752
139,140,733,752
145,738,739,759
145,146,166,759
145,146,739,759
145,738,758,759
145,165,166,759
145,165,758,759
141,734,754,755
141,161,162,755
141,161,754,755
138,731,732,751
138,139,158,751
138,139,732,751
146,739,760,761
146,167,168,761
146,167,760,761
