12162, 12162, 12162, 12168, 12168, 12168, 12174, 12174, 12174, 12180, 12180, 12180, 12195, 12195, 12195, 12207, 12207, 12207, 12228, 12228, 12228, 12231, 12231, 12231, 
12174, 12174, 12204, 12204, 12204, 12231, 12231, 12243, 12243, 12243, 12246, 12246, 12246, 12270, 12270, 12270, 
12201, 12201, 12201, 12219, 12219, 12219, 12243, 12243, 12270, 12270, 12288, 12288, 12288, 12291, 12291, 12291, 12309, 12309, 12309, 
12201, 12201, 12219, 12219, 12333, 12333, 12333, 12369, 12369, 12369, 12387, 12387, 12387, 12408, 12408, 12408, 
12330, 12330, 12330, 12363, 12363, 12363, 12369, 12369, 12387, 12387, 12441, 12441, 12441, 12471, 12471, 12471, 12474, 12474, 12474, 
12393, 12393, 12393, 12441, 12441, 12471, 12471, 12477, 12477, 12477, 12480, 12480, 12480, 12525, 12525, 12525, 
12417, 12417, 12417, 12432, 12432, 12432, 12444, 12444, 12444, 12477, 12477, 12480, 12480, 12498, 12498, 12498, 
12141, 12141, 12141, 12180, 12180, 12189, 12189, 12189, 12195, 12195, 12210, 12210, 12210, 12234, 12234, 12234, 
12189, 12189, 12210, 12210, 12213, 12213, 12213, 12249, 12249, 12249, 12252, 12252, 12252, 12276, 12276, 12276, 12282, 12282, 12282, 
12249, 12249, 12276, 12276, 12294, 12294, 12294, 12306, 12306, 12306, 12324, 12324, 12324, 12360, 12360, 12360, 
12324, 12324, 12348, 12348, 12348, 12351, 12351, 12351, 12360, 12360, 12372, 12372, 12372, 12390, 12390, 12390, 12462, 12462, 12462, 
12390, 12390, 12405, 12405, 12405, 12417, 12417, 12462, 12462, 12483, 12483, 12483, 12498, 12498, 
12108, 12108, 12108, 12114, 12114, 12114, 12129, 12129, 12129, 12144, 12144, 12144, 12162, 12162, 12168, 12168, 
12114, 12114, 12159, 12159, 12159, 12168, 12174, 12204, 12204, 12222, 12222, 12222, 
12198, 12198, 12198, 12204, 12222, 12222, 12243, 12309, 12309, 12315, 12315, 12315, 
12198, 12198, 12201, 12309, 12408, 12408, 12414, 12414, 12414, 12429, 12429, 12429, 
12387, 12408, 12414, 12414, 12474, 12474, 12513, 12513, 12513, 12519, 12519, 12519, 
12471, 12474, 12513, 12513, 12522, 12522, 12522, 12525, 12525, 12576, 12576, 12576, 
12477, 12483, 12483, 12498, 12522, 12522, 12525, 12570, 12570, 12570, 
12132, 12132, 12132, 12141, 12141, 12144, 12144, 12156, 12156, 12156, 12162, 12180, 
12141, 12156, 12156, 12171, 12171, 12171, 12189, 12213, 12213, 12216, 12216, 12216, 
12213, 12216, 12216, 12249, 12264, 12264, 12264, 12294, 12294, 12396, 12396, 12396, 
12294, 12360, 12372, 12372, 12396, 12396, 12402, 12402, 12402, 12501, 12501, 12501, 
12372, 12462, 12483, 12501, 12501, 12528, 12528, 12528, 12570, 12570, 
12066, 12066, 12066, 12081, 12081, 12081, 12093, 12093, 12093, 12096, 12096, 12096, 12108, 12108, 12129, 12129, 
12081, 12081, 12114, 12117, 12117, 12117, 12129, 12159, 12159, 12177, 12177, 12177, 
12159, 12177, 12177, 12222, 12315, 12315, 12339, 12339, 12339, 12354, 12354, 12354, 
12198, 12315, 12339, 12339, 12381, 12381, 12381, 12426, 12426, 12426, 12429, 12429, 
12414, 12426, 12426, 12429, 12519, 12519, 12567, 12567, 12567, 12573, 12573, 12573, 
12513, 12519, 12564, 12564, 12564, 12567, 12567, 12576, 12576, 12606, 12606, 12606, 
12522, 12528, 12528, 12564, 12564, 12570, 12576, 12600, 12600, 12600, 
